id,nadkod,nad_id_upp
1,18002000,18001004
2,18003001,18001004
3,38112000,38112001
4,48002001,48002000
5,48002999,48002000
6,48023000,48023001
7,48601002,48601001
8,48601004,48601003
9,48604000,48604002
10,58301000,58001001
11,58401000,58401001
12,58401999,58401001
13,59999999,58001001
14,69999999,68001000
15,78001999,78001001
16,88001998,88001001
17,88290000,88271000
18,98001003,98001002
19,98001005,98001004
20,108001000,108001001
21,108001997,108001001
22,108002000,108001001
23,108301002,108301003
24,116501000,116501001
25,116607000,116607001
26,118001001,118001000
27,118001999,118001000
28,128001000,128001002
29,128001995,128001002
30,128001996,128001002
31,128001997,128001002
32,128001998,128001002
33,128001999,128001002
34,128014000,128014001
35,128016001,128007001
36,128101001,128101002
37,128301001,128301003
38,129999999,128001002
39,148002000,148001002
40,148070000,148017001
41,148090000,148017001
42,148092000,148017001
43,148512001,148501001
44,152714000,148501001
45,156606000,156606001
46,156611000,156611002
46,156611000,156611001
47,158001000,158001003
48,158301003,158301001
49,158401000,158401001
50,158404000,158404001
51,158408000,158408001
52,168647000,168647001
53,169999999,168601001
54,178101000,178101003
55,178201000,178201006
56,188003000,188003001
57,188404001,188404005
58,188502005,188502004
59,198401000,198401001
60,203102000,203101002
61,206102000,206102002
62,218303998,218303000
63,218303999,218303000
64,218405000,218405002
65,228110998,228110000
66,228110999,228110000
67,228310000,228371000
68,251002000,251002002
69,251002999,251002002
70,208071001,208001000
71,168401001,168401002
72,123006001,123006002
73,68601001,68601002
74,68302000,68303000
75,58122000,58120000
76,168015000,168014000
77,158501002,158501003
78,38014002,38013001
79,58301002,58301001
80,156621000,156622000
81,113702000,113703000
82,228103000,228102001
83,152714002,152714001
84,252101000,252103000
85,168214002,168214001
86,218205000,218204001
