nadkod,nad_id_upp
18002000,18001004
18003001,18001004
38112000,38112001
48002001,48002000
48002999,48002000
48023000,48023001
48601002,48601001
48601004,48601003
48604000,48604002
58301000,58301001
58401000,58401001
58401999,58401001
68002002,68002000
68002999,68002000
78001999,78001001
88001998,88001001
88290000,88201000
108001000,108001001
108001997,108001001
108002000,108001001
108301002,108301003
116501000,116501001
116607000,116607001
118001001,118001000
118001999,118001000
128001000,128001002
128001995,128001002
128001996,128001002
128001997,128001002
128001998,128001002
128001999,128001002
128014000,128014001
128016001,128007001
128101001,128101002
128301001,128301003
148002000,148001002
148070000,148001002
148090000,148001002
148092000,148090000
148093000,148090000
148512001,148511000
152714000,152714001
156606000,156606001
156611000,156611001
158001000,158001003
158301003,158301001
158401000,158401001
158404000,158404001
158408000,158408001
168214000,168214001
168647000,168647001
178101000,178101003
178201000,178201006
188003000,188003001
188404001,188404005
198401000,198401001
203102000,203101002
206102000,206102002
208503000,208503002
208503999,208503002
218090000,218001001
218303998,218303000
218303999,218303000
218405000,218405002
228110998,228101000
228110999,228101000
228310000,228371000
251002000,251002002
251002999,251002002
208071001,208001000
168401001,168401002
123006001,123006002
68601001,68601002
61704000,68303000
58119000,58120000
188502005,188503000
168015000,168014000
158501002,158501003
252101000,252103000
