NAPP-title,NAPP-code (OCCHISCO),HISCO-code,HISCO-nr,check_with_native_speaker,comments
Barristers,12120,1-21.10,12110,1,
Justice of the Peace,12220,3-10.90,31090,1,
"Executive officers, nfs (U.S. only)",21112,2-12.00,21200,1,eo = manager or supervisor?
Executive officers of manufacturing concerns nfs,21122,2-12.20,21220,1,eo = manager or supervisor?
Executive officers of specified manufacturing concerns,21132,2-12.20,21220,1,eo = manager or supervisor?
Executive officers of extractive industry,21142,2-11.10,21110,1,eo = manager or supervisor?
Executive officers of railway concerns,21152,2-11.10,21110,1,eo = manager or supervisor?
Executive officer of other transport and communications,21162,2-11.10,21110,1,eo = manager or supervisor?
Executive officer of public utilities,21172,2-11.10,21110,1,eo = manager or supervisor?
Executive officer finance company,21182,2-11.10,21110,1,eo = manager or supervisor?
Executive officers of other large scale productive enterprises,21192,2-12.20,21220,1,eo = manager or supervisor?
Capitalists,21330,9-99.99,99999,1,
"Foremen and supervisors, public utilities",23160,2-02.10,20210,1,
"Inspectors [of manufactories, companies], etc.",24100,9-49.80,94980,1,
Postmasters or postmistresses,31050,2-22.20,22220,1,
Money collector,33150,3-39.90,33990,1,
Baggage agents and baggage men,33220,5-99.90,59990,1,
"Agent, water transport (principally steamship and steamboat)",33320,4-22.30,42230,1,
"Agent, land transport (non-rail)",33330,4-22.30,42230,1,
Other specialized agents,43090,4-32.00,43200,1,
Patent Agents,44160,1-99.20,19920,1,two diff napp codes for patent agent
Clerks in shops and stores,45130,3-91.10,39110,1,or is this a shopkeeping occ?
Boarding and lodging house keepers and managers,51040,2-14.90,21490,1,or in 5-xx.xx
Errand boys and errand girls,59950,3-70.40,37040,1,
Cottar and Fisherman,61330,6-41.00,64100,1,
Braziers,87230,8-72.45,87245,1,brazer = brazier?
Caulker,87560,9-54.40,95440,1,
Marblers,95960,9-51.45,95145,1,what is a marbler?
Helpers nfs,99430,-1,-1,1,does this qualify as an occupation?
Helpers of relative or helping at home,99440,-1,-1,1,does this qualify as an occupation?
No occupation,0,-2,-2,,
Chemists,01100,0-11.10,1110,,
Physicists,01200,0-12.10,1210,,
Physical scientists nec,01300,0-13.90,1390,,
Physical science assistants and technicians,01400,0-14.00,1400,,
"Professional engineers, specialisation unknown",02000,0-20.00,2000,,
Architects,02100,0-21.20,02120,,
Civil engineers,02200,0-22.10,2210,,
Electrical engineers,02300,0-23.05,02305,,
"Mechanical engineers, general or nfs",02410,0-35.90,3590,,
Industrial machinery or tools engineers,02420,0-24.20,2420,,
"Mechanical engineer (motors and engines, except marine)",02430,0-24.30,2430,,
Marine engineers,02440,0-24.40,2440,,
Ship construction engineers,02450,0-24.50,2450,,
"Heating, ventilation and refrigeration engineers",02460,0-24.80,2480,,
Other mechanical engineers,02490,0-24.90,2490,,
Chemical engineers,02500,0-25.10,2510,,
Metallurgists and assayers,02600,0-26.20,02620,,
Mining engineers,02700,0-27.10,02710,,
Industrial engineers,02800,0-28.10,02810,,
Professional engineers nec,02900,0-20.00,2000,,
"Surveyors, general and nfs",03010,0-30.10,3010,,
Land surveyors,03020,0-30.20,03020,,
Mine surveyors,03030,0-30.30,3030,,
Hydrographic surveyors,03040,0-30.40,3040,,
Other surveyors,03090,0-30.90,3090,,
Draughtsmen,03100,0-31.10,03110,,
Technicians,03210,0-32.00,3200,,
Civil engineering technicians,03220,0-33.10,3310,,
Electrical engineering technicians,03230,0-34.05,03405,,
Mechanical engineering technicians,03240,0-35.10,3510,,
Chemical engineering technicals,03250,0-36.10,3610,,
Metallurgical technicians,03260,0-37.00,03700,,
Mining technicians,03270,0-38.10,3810,,
Engineering technicians nec,03290,0-39.90,03990,,
Ships' officers nfs,04210,0-42.90,4290,,
Ship's masters and captains (sea),04220,0-42.15,4215,,
Ship's masters and captains (sea or inland waterways),04230,0-42.17,4217,,
Ship's masters and captains (inland waterways),04240,0-42.20,4220,,
Ship's navigating officers and ship's mates,04250,0-42.30,4230,,
Ship and boat pilots,04260,0-42.40,4240,,
Marine superintendents (deck),04270,0-42.50,4250,,
Other ships' deck officers and pilots,04290,0-42.90,4290,,
Ships' engineers,04300,0-43.00,4300,,
"Biologists, botanists, zoologists and related scientists",05100,0-51.10,05110,,
Medical scientists,05200,0-52.90,05290,,
Agronomists and related scientists,05300,0-53.20,05320,,
Life sciences technicians,05400,0-54.00,05400,,
Medical doctors and physicians (UK: Medical doctors only),06110,0-61.00,6100,,
Physicians (UK only),06120,0-61.05,6105,,
Surgeons,06130,0-61.10,6110,,
Specialised physicians,06140,0-61.20,6120,,
Specialised surgeons,06150,0-61.30,6130,,
Public health physicians,06160,0-61.40,6140,,
Oculist,06170,0-75.20,7520,,
"Medical doctors, nec",06190,0-61.90,6190,,
Dentists,06200,0-63.10,06310,,
Veterinarians,06300,0-65.10,6510,,
Pharmacists,06400,0-67.10,6710,,
Medical and related assistants,06500,0-62.10,6210,,
Trained nurses,07110,0-71.10,7110,,
Nurses nfs,07210,0-71.10,7110,,
"Medical nurses, untrained or level of training unknown",07220,0-72.10,07210,,
Midwives,07320,0-73.10,7310,,
Monthly nurses,07330,0-71.90,7190,,
Opticians and optometrists,07500,0-75.30,7530,,
Healers and therapists nec,07600,0-79.90,07990,,
Osteopaths,07920,0-79.20,7920,,
Chiropractors,07930,0-79.30,7930,,
Sanitarians,07940,0-79.40,7940,,
"Other Medical, Dental, Veterinary and Related Workers",07990,0-79.90,7990,,
"Mathematicians and actuaries, etc.",08000,0-82.30,08230,,
Economists,09000,0-90.10,09010,,
Accountants,11010,1-10.10,11010,,
Auditors,11020,1-10.20,11020,,
Accountants nec,11090,1-10.90,11090,,
Lawyers,12110,1-21.10,12110,,
Solicitors,12130,1-24.10,12410,,
Judge,12200,1-22.10,12210,,
Notary,12300,1-23.10,12310,,
"Jurists (except Lawyer, Judge or Solicitor)",12900,1-29.10,12910,,
Teachers in higher education,13100,1-31.00,13100,,
Teachers (unspecified),13210,1-30.00,13000,,
Teachers (secondary),13220,1-32.00,13200,,
Teachers (primary),13230,1-33.90,13390,,
Teachers (pre-primary),13240,1-34.90,13490,,
Teachers (of the disabled),13250,1-35.90,13590,,
School administrators and principals,13300,1-39.40,13940,,
Governesses,13920,1-39.60,13960,,
Other teaching personnel,13990,1-39.90,13990,,
Ministers of religion,14120,1-41.20,14120,,
Missionaries,14130,1-41.30,14130,,
Members of religious orders,14140,1-41.40,14140,,
Other ministers of religion,14190,1-41.20,14120,,
Workers in religion nec,14900,1-49.90,14990,,
Authors,15100,1-51.20,15120,,
Editors,15220,1-59.20,15920,,
"Journalists, reporters and correspondents",15230,1-59.15,15915,,
Others writers,15900,1-59.90,15990,,
Artists nfs and art teachers,16110,1-61.90,16190,,
Sculptors,16120,1-61.20,16120,,
Artistic Painters,16130,1-61.30,16130,,
Cartoonists,16140,1-61.40,16140,,
Engravers and etchers (artistic),16150,1-61.50,16150,,
Other specified creative artists,16190,1-61.90,16190,,
Designers,16200,1-62.00,16200,,
Photographers,16300,1-63.10,16310,,
Engravers,16400,1-61.50,16150,,
Musical performers and musicians nfs,17120,1-71.40,17140,,
Music teachers,17130,1-32.50,13250,,
Others in music,17190,1-71.90,17190,,
Dancers and dancing teachers,17200,1-72.30,17230,,
Actors and related workers,17300,1-73.20,17320,,
"Producers, performing arts",17400,1-74.90,17490,,
Performing artists nec,17900,1-79.90,17990,,
"Athletes, sportsmen and related workers",18000,1-80.20,18020,,
"Librarians, archivists and curators",19100,1-91.20,19120,,
Social scientists and historians,19200,1-92.90,19290,,
Social workers,19300,1-93.00,19300,,
"Interpreters, translators and philologists",19500,1-95.40,19540,,
Patent Agents,19920,1-99.20,19920,,
Underwriters,19930,1-99.50,19950,,
"Other professional, technical and related workers nec",19990,1-99.90,19990,,
Legislative officials and heads of government,20100,2-01.10,20110,,
Government administrators,20200,2-02.10,20210,,
"Proprietors, nfs",21110,2-11.10,21110,,
Manufacturers nfs,21120,2-11.10,21110,,
Manufacturers or proprietors of specified manufacturing concerns,21130,2-11.10,21110,,
"Proprietor, mining, quarrying, oil and? natural gas extraction",21140,2-11.10,21110,,
Oil Producer,21141,2-11.10,21110,,
"Proprietor, railway company",21150,2-11.10,21110,,
"Proprietor, other transport and communications",21160,2-11.10,21110,,
"Proprietor, public utilities (i.e., water, gas, etc.)",21170,2-11.10,21110,,
"Proprietor, finance",21180,2-11.10,21110,,
Other owners of large scale productive enterprises,21190,2-11.10,21110,,
Publisher,21194,2-11.10,21110,,
Contractors nfs,21210,2-12.40,21240,,
Construction contractors,21220,2-12.40,21240,,
Builders,21230,9-59.10,95910,,
Other specified contractors,21290,2-12.00,21200,,
Speculators,21340,4-41.40,44140,,
Investors nec,21390,4-41.40,44140,,
Superintendents and managers nfs,22110,2-20.00,22000,,
"Superintendents and managers, manufacturing",22120,2-26.90,22690,,
"Superintendents and managers, mining, quarrying, etc.",22130,2-26.20,22620,,
"Superintendents and managers, railways",22140,2-22.90,22290,,
"Superintendents and managers, other transport and communications",22150,2-22.90,22290,,
"Superintendents and managers, public utilities",22160,2-26.90,22690,,
"Superintendents and managers, construction, except railway construction",22170,2-26.75,22675,,
"Superintendents and managers, commerce",22180,2-23.90,22390,,
"Superintendents and managers, nec",22190,2-26.90,22690,,
Foremen and supervisors nfs,23110,2-20.00,22000,,
"Foremen and supervisors, manufacturing",23120,2-26.50,22650,,
"Foremen and supervisors, mining",23130,2-26.20,22620,,
"Foremen and supervisors, railways",23140,2-22.10,22210,,
"Foremen and supervisors, other transport and communications",23150,2-22.90,22290,,
"Foremen and supervisors, construction, except railway construction",23170,2-26.10,22610,,
"Foremen and supervisors, commerce",23180,2-23.20,22320,,
"Foremen and supervisors, nec",23190,2-26.90,22690,,
"Civil servants, title unknown",31010,3-00.00,30000,,
Tax collectors,31020,3-10.20,31020,,
Tax assessors,31030,3-10.30,31030,,
Customs officers,31040,3-10.40,31040,,
Clerks of court and other court clerks,31060,3-93.40,39340,,
"Government functionaries, nec",31090,3-10.90,31090,,
