nadkod,nad_id_upp
18002000,18001004
18003001,18001004
38101999,38101000
48001002,48001001
48002001,48002000
48002999,48002000
48601002,48601001
48601004,48601003
58101999,58101000
58401000,58401001
58401999,58401001
68002002,68002000
68002999,68002000
78001999,78001001
88001998,88001001
88290000,88201000
108001000,108001001
108001997,108001001
108002000,108001002
118001001,118001000
118001999,118001000
128001000,128001002
128001995,128001002
128001996,128001002
128001997,128001002
128001998,128001002
128001999,128001002
128016001,128011000
128201998,128201000
148002000,148001002
148013999,148013000
148070000,148001002
148090000,148001002
148092000,148001002
148093000,148001002
148512001,148511000
188301999,188301000
202302999,202302000
203102000,202303000
203402999,203402000
208171999,208171000
208503000,208503002
208503999,208503002
212103999,212103000
218090000,218001001
218303998,218303000
218303999,218303000
226202999,226202000
226203999,226203000
228110998,228110000
228110999,228110000
228301998,228301000
228310000,228301000
230906999,230906000
231305999,231305000
232105999,232105000
232602999,232602000
236107002,236107000
238001999,238001000
251002000,251002002
251002999,251002002
